archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,2344,16
sources,10,2357,16
sources,10,2348,16
sources,10,2387,16
sources,10,2360,16
sources,10,2374,16
sources,10,2345,16
sources,10,17696,559
sources,10,2416,559
sources,10,2351,559
sources,10,2338,559
sources,10,2328,559
sources,10,2297,559
sources,10,2298,559
sources,10,2291,559
sources,10,2340,559
sources,10,2317,559
sources,10,2299,559
sources,10,2286,559
sources,10,2367,559
sources,10,2345,559
sources,10,2309,559
sources,10,2335,559
sources,10,2289,559
sources,10,2299,559
sources,10,2326,559
sources,10,2311,559
sources,10,2320,559
sources,10,2284,559
sources,10,2283,559
sources,10,2300,559
sources,10,2291,559
sources,10,2301,559
sources,10,2318,559
sources,10,2319,559
sources,10,2307,559
sources,10,2317,559
sources,10,12067,3
sources,10,2440,3
sources,10,2342,3
sources,10,2340,3
sources,10,2389,3
sources,10,2263,3
sources,10,2272,3
sources,10,2278,3
sources,10,2276,3
sources,10,2312,3
sources,10,2274,3
sources,10,2265,3
sources,10,2269,3
sources,10,2278,3
sources,10,2271,3
sources,10,2279,3
sources,10,2277,3
sources,10,2285,3
sources,10,2287,3
sources,10,2290,3
sources,10,2299,3
sources,10,2264,3
sources,10,2273,3
sources,10,2285,3
sources,10,2280,3
sources,10,2337,3
sources,10,2273,3
sources,10,2302,3
sources,10,2291,3
sources,10,2270,3
sources,10,13186,2
sources,10,2320,2
sources,10,2319,2
sources,10,2261,2
sources,10,2307,2
sources,10,2280,2
sources,10,2277,2
sources,10,2248,2
sources,10,2278,2
sources,10,2278,2
sources,10,2251,2
sources,10,2289,2
sources,10,2230,2
sources,10,2262,2
sources,10,2312,2
sources,10,2241,2
sources,10,2240,2
sources,10,2242,2
sources,10,2240,2
sources,10,2244,2
sources,10,2263,2
sources,10,2246,2
sources,10,2251,2
sources,10,2264,2
sources,10,2263,2
sources,10,2347,2
sources,10,2281,2
sources,10,2232,2
sources,10,2261,2
sources,10,2253,2
sources,10,15859,5094
sources,10,2539,5094
sources,10,2452,5094
sources,10,2438,5094
sources,10,2430,5094
sources,10,2391,5094
sources,10,2393,5094
sources,10,2414,5094
sources,10,2383,5094
sources,10,2385,5094
sources,10,2398,5094
sources,10,2396,5094
sources,10,2420,5094
sources,10,2372,5094
sources,10,2393,5094
sources,10,2388,5094
sources,10,2425,5094
sources,10,2384,5094
sources,10,2388,5094
sources,10,2413,5094
sources,10,2437,5094
sources,10,2375,5094
sources,10,2372,5094
sources,10,2367,5094
sources,10,2425,5094
sources,10,2386,5094
sources,10,2415,5094
sources,10,2405,5094
sources,10,2411,5094
sources,10,2444,5094
sources,10,15743,315
sources,10,2440,315
sources,10,2371,315
sources,10,2404,315
sources,10,2353,315
sources,10,2385,315
sources,10,2345,315
sources,10,2361,315
sources,10,2377,315
sources,10,2351,315
sources,10,2349,315
sources,10,2372,315
sources,10,2426,315
sources,10,2386,315
sources,10,2337,315
sources,10,2348,315
sources,10,2379,315
sources,10,2348,315
sources,10,2350,315
sources,10,2358,315
sources,10,2391,315
sources,10,2349,315
sources,10,2353,315
sources,10,2358,315
sources,10,2354,315
sources,10,2386,315
sources,10,2419,315
sources,10,2365,315
sources,10,2345,315
sources,10,2385,315
sources,10,16638,607
sources,10,2482,607
sources,10,2401,607
sources,10,2404,607
sources,10,2391,607
sources,10,2368,607
sources,10,2367,607
sources,10,2366,607
sources,10,2368,607
sources,10,2401,607
sources,10,2415,607
sources,10,2368,607
sources,10,2371,607
sources,10,2395,607
sources,10,2402,607
sources,10,2361,607
sources,10,2386,607
sources,10,2417,607
sources,10,2392,607
sources,10,2408,607
sources,10,2377,607
sources,10,2356,607
sources,10,2373,607
sources,10,2396,607
sources,10,2375,607
sources,10,2359,607
sources,10,2388,607
sources,10,2400,607
sources,10,2348,607
sources,10,2366,607
sources,10,14382,2
sources,10,2449,2
sources,10,2404,2
sources,10,2396,2
sources,10,2379,2
sources,10,2373,2
sources,10,2370,2
sources,10,2382,2
sources,10,2389,2
sources,10,2389,2
sources,10,2351,2
sources,10,2398,2
sources,10,2366,2
sources,10,2346,2
sources,10,2369,2
sources,10,2403,2
sources,10,2378,2
sources,10,2365,2
sources,10,2358,2
sources,10,2409,2
sources,10,2410,2
sources,10,2356,2
sources,10,2414,2
sources,10,8003,2
sources,10,2407,2
sources,10,2387,2
sources,10,2370,2
sources,10,2391,2
sources,10,2353,2
sources,10,2342,2
sources,10,18796,21
sources,10,2454,21
sources,10,2335,21
sources,10,2359,21
sources,10,2361,21
sources,10,2335,21
sources,10,2317,21
sources,10,2360,21
sources,10,2320,21
