n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4,Búsqueda
58000001,0.000296359,0.000184763,0.000263,0.000267,0.000269,0.0002765,0.001749,exponencial
59000001,0.000287422,6.95833e-05,0.000261,0.000268,0.0002725,0.0002885,0.000824,exponencial
60000001,0.000287781,8.774e-05,0.000261,0.00026775,0.000271,0.00028775,0.000972,exponencial
61000001,0.000287047,6.24547e-05,0.000259,0.000268,0.0002755,0.00028925,0.000767,exponencial
62000001,0.000296266,0.000122448,0.000262,0.000268,0.000278,0.00029125,0.001252,exponencial
63000001,0.000283953,0.000106343,0.000259,0.000266,0.000269,0.000273,0.001119,exponencial
64000001,0.000284328,7.76559e-05,0.000265,0.000269,0.000271,0.00027425,0.000891,exponencial
65000001,0.000300875,0.000103923,0.000267,0.000279,0.0002885,0.000298,0.001114,exponencial
66000001,0.000293328,8.41703e-05,0.000262,0.000271,0.000283,0.00029325,0.000947,exponencial
67000001,0.000298641,0.000154342,0.000259,0.00026775,0.000279,0.000291,0.001509,exponencial
68000001,0.000255406,5.5333e-05,0.000238,0.00024175,0.000244,0.000249,0.00068,exponencial
69000001,0.000269688,0.000110414,0.000231,0.000248,0.000251,0.00026375,0.001134,exponencial
70000001,0.000290437,0.000158957,0.000252,0.000257,0.0002715,0.000282,0.001537,exponencial
71000001,0.000288906,0.000183412,0.00025,0.000257,0.00026,0.000278,0.00173,exponencial
72000001,0.00028125,6.79923e-05,0.000256,0.00026275,0.0002705,0.0002825,0.000807,exponencial
73000001,0.000287016,8.96794e-05,0.000257,0.00026375,0.000273,0.00028725,0.000983,exponencial
74000001,0.000275156,6.99256e-05,0.000256,0.000259,0.000262,0.000273,0.000819,exponencial
75000001,0.000283391,0.000119225,0.000256,0.000261,0.000264,0.0002745,0.001218,exponencial
76000001,0.000291812,0.000127697,0.000259,0.00026575,0.0002705,0.0002865,0.001292,exponencial
77000001,0.000285266,8.38841e-05,0.000258,0.000266,0.00027,0.000283,0.000936,exponencial
78000001,0.000291953,0.000166449,0.000258,0.000265,0.000267,0.00027225,0.0016,exponencial
79000001,0.000290406,0.000121525,0.000261,0.000266,0.00027,0.0002845,0.001242,exponencial
80000001,0.000291719,0.00010794,0.00026,0.000269,0.0002735,0.000288,0.001136,exponencial
81000001,0.000292547,0.00013492,0.000264,0.00026775,0.0002705,0.00028,0.001351,exponencial
82000001,0.000292594,0.000114914,0.000262,0.00026775,0.000275,0.00028825,0.001193,exponencial
83000001,0.000291672,0.000100231,0.000256,0.000268,0.0002795,0.000292,0.001074,exponencial
84000001,0.000308359,0.000198319,0.000267,0.00027275,0.000277,0.000296,0.001866,exponencial
85000001,0.000361187,0.000564945,0.000267,0.00027,0.000274,0.00027825,0.004734,exponencial
86000001,0.000293781,9.79223e-05,0.000265,0.000272,0.000274,0.000292,0.001056,exponencial
87000001,0.000290141,8.94173e-05,0.000266,0.00027075,0.000273,0.00029,0.000988,exponencial
88000001,0.000299047,0.000117492,0.000256,0.000272,0.00028,0.000295,0.001217,exponencial
89000001,0.000302703,0.000116668,0.000265,0.00027375,0.000289,0.0003,0.001214,exponencial
90000001,0.000317516,0.000258459,0.000267,0.000273,0.0002825,0.0003,0.00235,exponencial
91000001,0.000302844,9.84814e-05,0.000267,0.000283,0.000291,0.000301,0.001072,exponencial
92000001,0.00031775,0.000261193,0.000269,0.000273,0.0002835,0.00029425,0.002372,exponencial
93000001,0.000289672,9.76047e-05,0.000262,0.000272,0.000275,0.00027825,0.001054,exponencial
94000001,0.000314125,0.000210752,0.000267,0.00027275,0.000286,0.00030125,0.001969,exponencial
95000001,0.000297594,0.000103634,0.000266,0.000271,0.0002815,0.000297,0.001105,exponencial
96000001,0.000301031,0.00014677,0.000267,0.000273,0.000275,0.00029625,0.001452,exponencial
97000001,0.000297219,0.000121938,0.00027,0.000275,0.000278,0.00028625,0.001254,exponencial
98000001,0.000291141,0.000106533,0.000267,0.00027275,0.000275,0.000279,0.001127,exponencial
99000001,0.000438719,0.00122831,0.000267,0.000274,0.0002795,0.00029725,0.010111,exponencial
