archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,30119254,471059
sources,10,29855545,471059
sources,10,27064,1
sources,10,1232,1
sources,10,655,1
sources,10,565,1
sources,10,583,1
sources,10,601,1
sources,10,576,1
sources,10,581,1
sources,10,553,1
sources,10,576,1
sources,10,587,1
sources,10,560,1
sources,10,592,1
sources,10,573,1
sources,10,554,1
sources,10,558,1
sources,10,557,1
sources,10,586,1
sources,10,580,1
sources,10,568,1
sources,10,584,1
sources,10,571,1
sources,10,578,1
sources,10,557,1
sources,10,579,1
sources,10,602,1
sources,10,572,1
sources,10,569,1
sources,10,562,1
sources,10,587,1
sources,10,21092,5
sources,10,1320,5
sources,10,816,5
sources,10,760,5
sources,10,786,5
sources,10,830,5
sources,10,777,5
sources,10,760,5
sources,10,759,5
sources,10,757,5
sources,10,763,5
sources,10,784,5
sources,10,791,5
sources,10,767,5
sources,10,754,5
sources,10,755,5
sources,10,776,5
sources,10,786,5
sources,10,747,5
sources,10,788,5
sources,10,754,5
sources,10,781,5
sources,10,779,5
sources,10,752,5
sources,10,780,5
sources,10,772,5
sources,10,804,5
sources,10,760,5
sources,10,771,5
sources,10,749,5
sources,10,16543,1
sources,10,1062,1
sources,10,676,1
sources,10,651,1
sources,10,656,1
sources,10,644,1
sources,10,652,1
sources,10,651,1
sources,10,637,1
sources,10,647,1
sources,10,660,1
sources,10,670,1
sources,10,636,1
sources,10,641,1
sources,10,635,1
sources,10,663,1
sources,10,647,1
sources,10,664,1
sources,10,646,1
sources,10,670,1
sources,10,661,1
sources,10,690,1
sources,10,654,1
sources,10,661,1
sources,10,682,1
sources,10,646,1
sources,10,664,1
sources,10,666,1
sources,10,704,1
sources,10,715,1
sources,10,16179,5
sources,10,1013,5
sources,10,715,5
sources,10,760,5
sources,10,712,5
sources,10,676,5
sources,10,688,5
sources,10,675,5
sources,10,717,5
sources,10,675,5
sources,10,685,5
sources,10,676,5
sources,10,730,5
sources,10,678,5
sources,10,678,5
sources,10,696,5
sources,10,703,5
sources,10,712,5
sources,10,675,5
sources,10,671,5
sources,10,706,5
sources,10,710,5
sources,10,717,5
sources,10,674,5
sources,10,676,5
sources,10,733,5
sources,10,686,5
sources,10,716,5
sources,10,681,5
sources,10,679,5
sources,10,32015,330
sources,10,7625,330
sources,10,4713,330
sources,10,4141,330
sources,10,3873,330
sources,10,3785,330
sources,10,3695,330
sources,10,3641,330
sources,10,3636,330
sources,10,3656,330
sources,10,3626,330
sources,10,3658,330
sources,10,3635,330
sources,10,3763,330
sources,10,3600,330
sources,10,3761,330
sources,10,3624,330
sources,10,3663,330
sources,10,3718,330
sources,10,3646,330
sources,10,3663,330
sources,10,3745,330
sources,10,3648,330
sources,10,3615,330
sources,10,3673,330
