archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,376,1
sources,10,382,1
sources,10,411,1
sources,10,13734,47
sources,10,2058,47
sources,10,1789,47
sources,10,1805,47
sources,10,1823,47
sources,10,1803,47
sources,10,1803,47
sources,10,1942,47
sources,10,1790,47
sources,10,1794,47
sources,10,1789,47
sources,10,1776,47
sources,10,1765,47
sources,10,1770,47
sources,10,1753,47
sources,10,1786,47
sources,10,1799,47
sources,10,1734,47
sources,10,1764,47
sources,10,1804,47
sources,10,1761,47
sources,10,1780,47
sources,10,1764,47
sources,10,1773,47
sources,10,1797,47
sources,10,1798,47
sources,10,1756,47
sources,10,1786,47
sources,10,1742,47
sources,10,1740,47
sources,10,9365,6
sources,10,879,6
sources,10,573,6
sources,10,518,6
sources,10,526,6
sources,10,517,6
sources,10,520,6
sources,10,509,6
sources,10,523,6
sources,10,542,6
sources,10,533,6
sources,10,525,6
sources,10,546,6
sources,10,529,6
sources,10,520,6
sources,10,514,6
sources,10,527,6
sources,10,539,6
sources,10,533,6
sources,10,525,6
sources,10,529,6
sources,10,528,6
sources,10,580,6
sources,10,587,6
sources,10,533,6
sources,10,563,6
sources,10,554,6
sources,10,532,6
sources,10,542,6
sources,10,520,6
sources,10,6937,4
sources,10,840,4
sources,10,628,4
sources,10,584,4
sources,10,585,4
sources,10,622,4
sources,10,586,4
sources,10,571,4
sources,10,588,4
sources,10,603,4
sources,10,589,4
sources,10,611,4
sources,10,611,4
sources,10,572,4
sources,10,582,4
sources,10,581,4
sources,10,581,4
sources,10,573,4
sources,10,618,4
sources,10,615,4
sources,10,610,4
sources,10,587,4
sources,10,584,4
sources,10,577,4
sources,10,573,4
sources,10,613,4
sources,10,589,4
sources,10,580,4
sources,10,612,4
sources,10,580,4
sources,10,16049,104
sources,10,3717,104
sources,10,3184,104
sources,10,3186,104
sources,10,3227,104
sources,10,3201,104
sources,10,3217,104
sources,10,3178,104
sources,10,3158,104
sources,10,3126,104
sources,10,3195,104
sources,10,3166,104
sources,10,3138,104
sources,10,3176,104
sources,10,3237,104
sources,10,3177,104
sources,10,3184,104
sources,10,3135,104
sources,10,3133,104
sources,10,3137,104
sources,10,3117,104
sources,10,3139,104
sources,10,3126,104
sources,10,3187,104
sources,10,3182,104
sources,10,3273,104
sources,10,3179,104
sources,10,3319,104
sources,10,3133,104
sources,10,3081,104
sources,10,95785,698
sources,10,28786,698
sources,10,24464,698
sources,10,22395,698
sources,10,21519,698
sources,10,20798,698
sources,10,20542,698
sources,10,20043,698
sources,10,19964,698
sources,10,19806,698
sources,10,19676,698
sources,10,19666,698
sources,10,19739,698
sources,10,19727,698
sources,10,19693,698
sources,10,19759,698
sources,10,19637,698
sources,10,19627,698
sources,10,19633,698
sources,10,19531,698
sources,10,19742,698
sources,10,19729,698
sources,10,19441,698
sources,10,19714,698
sources,10,19718,698
sources,10,19814,698
sources,10,19636,698
sources,10,19501,698
sources,10,19581,698
sources,10,19544,698
sources,10,7846,4
sources,10,843,4
sources,10,587,4
sources,10,584,4
sources,10,619,4
sources,10,573,4
sources,10,586,4
sources,10,602,4
sources,10,587,4
sources,10,597,4
sources,10,591,4
sources,10,576,4
sources,10,612,4
sources,10,611,4
sources,10,618,4
sources,10,578,4
sources,10,590,4
sources,10,610,4
sources,10,587,4
sources,10,567,4
sources,10,606,4
sources,10,595,4
sources,10,587,4
sources,10,605,4
sources,10,594,4
sources,10,579,4
sources,10,588,4
sources,10,628,4
sources,10,590,4
sources,10,571,4
sources,10,11135,46
sources,10,1893,46
sources,10,1681,46
sources,10,1617,46
sources,10,1646,46
sources,10,1583,46
sources,10,1634,46
sources,10,1687,46
sources,10,1680,46
sources,10,1633,46
sources,10,1641,46
